homogen,penelitian,phantomA,phantomB,ukurManual
0.004395594,0.0150423,0.07604847,0.04800185,0.0118
0.002399644,0.006226123,0.04791817,0.03249629,0.0302
0.002399644,0.005941329,0.04791817,0.02547835,0.0162
0.001609371,0.005835719,0.0352529,0.01853698,0.0072
0.001385819,0.005734579,0.03231909,0.01940814,0.0047
0.001245664,0.002139666,0.0298076,0.01852757,0.0035
0.001188908,0.001692509,0.02924327,0.01453437,0.0038
0.00121297,0.001613307,0.03000157,0.01317907,0.0037
0.001317849,0.001902059,0.03162211,0.01446167,0.0029
0.001713407,0.002410168,0.03910965,0.02014119,0.0028
0.002399644,0.003137636,0.04791817,0.03021761,0.003
0.004395594,0.005423329,0.07604847,0.06999751,0.0044
0.007701257,0.009267246,0.1064214,0.1394809,0.0067
0.008376281,0.01534131,0.1127596,0.08118495,0.0157
0.003756638,0.006344896,0.06262527,0.04023226,0.0312
0.004395594,0.006050832,0.07604847,0.04088859,0.0156
0.002171999,0.005941629,0.04506178,0.02103324,0.008
0.001705495,0.005838619,0.03861291,0.01957236,0.004
0.001385819,0.002173858,0.03231909,0.01784856,0.0037
0.00121297,0.001711678,0.03000157,0.01319775,0.0034
0.001137931,0.001623048,0.02853745,0.01088811,0.0025
0.001160703,0.001907967,0.02881565,0.01091964,0.0022
0.001317849,0.002402555,0.03162211,0.01253568,0.0022
0.001609371,0.003106811,0.0352529,0.01573622,0.0028
0.002171999,0.005285376,0.04506178,0.02854468,0.0038
0.003005732,0.008938248,0.05509335,0.05096108,0.0074
0.007701257,0.03228497,0.1064214,0.06926259,0.0135
0.008376281,0.006572844,0.1127596,0.07913842,0.0174
0.007701257,0.006467438,0.1064214,0.06897665,0.0151
0.003005732,0.006246779,0.05509335,0.02661336,0.0058
0.002171999,0.006136985,0.04506178,0.02212492,0.0048
0.001609371,0.002117847,0.0352529,0.01931191,0.004
0.001317849,0.001399136,0.03162211,0.01382695,0.0029
0.001160703,0.001079214,0.02881565,0.01092833,0.0022
0.001137931,0.001158079,0.02853745,0.01061604,0.0022
0.00121297,0.001328936,0.03000157,0.01152198,0.0025
0.001385819,0.001591783,0.03231909,0.01364615,0.0031
0.001705495,0.002561226,0.03861291,0.02283456,0.0055
0.002171999,0.004237265,0.04506178,0.03908721,0.0096
0.004395594,0.0150423,0.07604847,0.04800185,0.0113
0.008376281,0.01534131,0.1127596,0.08118495,0.0163
0.007701257,0.0150692,0.1064214,0.0703057,0.0153
0.004395594,0.01479965,0.07604847,0.0407272,0.0089
0.002399644,0.004770536,0.04791817,0.02942657,0.0064
0.001713407,0.002681954,0.03910965,0.0189392,0.004
0.001317849,0.00155698,0.03162211,0.01301705,0.0027
0.00121297,0.001395614,0.03000157,0.01166012,0.0024
0.001188908,0.001253946,0.02924327,0.01134367,0.0024
0.001245664,0.001131975,0.0298076,0.01206769,0.0026
0.001385819,0.001369997,0.03231909,0.01798563,0.0041
0.001609371,0.001968012,0.0352529,0.0290975,0.0067
0.002399644,0.006226123,0.04791817,0.03249629,0.0072
0.003756638,0.006344896,0.06262527,0.04023226,0.0073
0.008376281,0.006572844,0.1127596,0.07913842,0.0157
